Id,Weekly_Sales
1_1_2012-11-02,36644.312
1_1_2012-11-09,18196.768
1_1_2012-11-16,20395.762
1_1_2012-11-23,18511.188
1_1_2012-11-30,25981.908
1_1_2012-12-07,30349.88
1_1_2012-12-14,41201.38
1_1_2012-12-21,47185.56
1_1_2012-12-28,26418.088
1_1_2013-01-04,22822.738
1_1_2013-01-11,16761.018
1_1_2013-01-18,22387.646
1_1_2013-01-25,18723.326
1_1_2013-02-01,25736.076
1_1_2013-02-08,34717.613
1_1_2013-02-15,48106.516
1_1_2013-02-22,19681.62
1_1_2013-03-01,23289.346
1_1_2013-03-08,21314.572
1_1_2013-03-15,22354.662
1_1_2013-03-22,21419.912
1_1_2013-03-29,35568.82
1_1_2013-04-05,45963.254
1_1_2013-04-12,29080.88
1_1_2013-04-19,17954.84
1_1_2013-04-26,22045.234
1_1_2013-05-03,16675.81
1_1_2013-05-10,15585.386
1_1_2013-05-17,18990.895
1_1_2013-05-24,17648.922
1_1_2013-05-31,17052.535
1_1_2013-06-07,16853.959
1_1_2013-06-14,17444.928
1_1_2013-06-21,17355.184
1_1_2013-06-28,16404.896
1_1_2013-07-05,17983.215
1_1_2013-07-12,15560.048
1_1_2013-07-19,16953.14
1_1_2013-07-26,17407.1
1_2_2012-11-02,44897.246
1_2_2012-11-09,42643.895
1_2_2012-11-16,42792.05
1_2_2012-11-23,44842.848
1_2_2012-11-30,45218.375
1_2_2012-12-07,45843.312
1_2_2012-12-14,49388.035
1_2_2012-12-21,58124.69
1_2_2012-12-28,41929.21
1_2_2013-01-04,45946.53
1_2_2013-01-11,42395.77
1_2_2013-01-18,44389.1
1_2_2013-01-25,40828.73
1_2_2013-02-01,48210.816
1_2_2013-02-08,51175.285
1_2_2013-02-15,47837.3
1_2_2013-02-22,47103.168
1_2_2013-03-01,50640.47
1_2_2013-03-08,46276.918
1_2_2013-03-15,46174.547
1_2_2013-03-22,44231.312
1_2_2013-03-29,44331.207
1_2_2013-04-05,46871.43
1_2_2013-04-12,44170.33
1_2_2013-04-19,44229.73
1_2_2013-04-26,43489.043
1_2_2013-05-03,46048.684
1_2_2013-05-10,42221.727
1_2_2013-05-17,43670.215
1_2_2013-05-24,44275.06
1_2_2013-05-31,45001.48
1_2_2013-06-07,44848.54
1_2_2013-06-14,45098.32
1_2_2013-06-21,46014.293
1_2_2013-06-28,45394.656
1_2_2013-07-05,45652.152
1_2_2013-07-12,42852.062
1_2_2013-07-19,44010.176
1_2_2013-07-26,45649.24
1_3_2012-11-02,10594.042
1_3_2012-11-09,10443.346
1_3_2012-11-16,10630.058
1_3_2012-11-23,13255.332
1_3_2012-11-30,12596.6045
1_3_2012-12-07,13694.548
1_3_2012-12-14,15243.14
1_3_2012-12-21,18540.217
1_3_2012-12-28,11893.321
1_3_2013-01-04,16601.188
1_3_2013-01-11,14856.233
1_3_2013-01-18,15530.025
1_3_2013-01-25,13208.966
1_3_2013-02-01,13950.46
1_3_2013-02-08,14504.458
1_3_2013-02-15,11501.232
1_3_2013-02-22,11488.748
1_3_2013-03-01,13020.254
1_3_2013-03-08,10869.831
1_3_2013-03-15,11129.838
1_3_2013-03-22,9983.358
1_3_2013-03-29,10017.715
1_3_2013-04-05,10707.291
1_3_2013-04-12,10021.869
1_3_2013-04-19,10086.349
1_3_2013-04-26,11056.077
1_3_2013-05-03,11316.075
1_3_2013-05-10,9930.288
1_3_2013-05-17,10556.422
1_3_2013-05-24,10410.786
1_3_2013-05-31,9698.026
